language average-lingua single-words-lingua word-pairs-lingua sentences-lingua average-tika single-words-tika word-pairs-tika sentences-tika average-optimaize single-words-optimaize word-pairs-optimaize sentences-optimaize
Arabic 98.43333333333334 96.8 98.7 99.8 97.8 94.69999999999999 98.7 100.0 90.83333333333333 77.2 95.5 99.8
Belarusian 97.76666666666667 95.0 99.1 99.2 97.86666666666667 94.89999999999999 98.9 99.8 91.23333333333333 78.4 95.8 99.5
Bulgarian 93.86666666666667 87.1 95.39999999999999 99.1 88.83333333333333 78.60000000000001 88.8 99.1 57.70000000000001 25.0 51.300000000000004 96.8
Croatian 93.63333333333333 85.2 96.2 99.5 89.23333333333335 75.4 92.30000000000001 100.0 70.13333333333333 35.0 76.3 99.1
Czech 87.2 78.2 88.7 94.69999999999999 82.86666666666666 69.5 86.1 93.0 71.33333333333333 49.0 75.7 89.3
Danish 89.03333333333335 75.5 92.0 99.6 84.7 67.7 87.5 98.9 58.43333333333334 23.7 55.00000000000001 96.6
Dutch 85.26666666666667 68.4 88.8 98.6 72.13333333333333 46.300000000000004 70.89999999999999 99.2 51.36666666666667 14.2 42.3 97.6
English 84.76646646646647 64.60000000000001 90.3 99.3993993993994 67.59973306639974 37.2 66.4 99.1991991991992 43.365699032365704 5.3 27.700000000000003 97.09709709709709
Estonian 93.46666666666665 85.39999999999999 95.5 99.5 87.16666666666667 71.8 90.10000000000001 99.6 63.5 26.3 66.3 97.89999999999999
Finnish 97.36666666666667 93.7 98.5 99.9 94.83333333333333 88.3 96.3 99.9 80.23333333333333 54.7 86.5 99.5
French 91.5 79.60000000000001 95.6 99.3 80.39999999999999 59.4 82.8 99.0 58.199999999999996 22.5 54.50000000000001 97.6
German 91.13333333333333 78.5 95.3 99.6 76.06666666666666 54.1 74.3 99.8 57.333333333333336 24.9 48.1 99.0
Hungarian 95.53333333333335 89.7 96.89999999999999 100.0 90.33333333333333 79.0 92.4 99.6 80.66666666666667 57.49999999999999 85.0 99.5
Italian 89.83333333333333 76.7 93.2 99.6 82.86666666666666 64.2 85.0 99.4 53.73333333333333 15.7 47.099999999999994 98.4
Latvian 89.23333333333333 82.1 90.8 94.8 88.46666666666665 76.2 91.0 98.2 75.46666666666668 52.1 78.10000000000001 96.2
Lithuanian 95.76666666666667 90.8 97.2 99.3 90.16666666666667 77.2 93.89999999999999 99.4 74.23333333333333 44.5 79.4 98.8
Persian 96.09999999999998 91.4 97.8 99.1 85.76666666666665 73.1 84.8 99.4 73.23333333333333 48.699999999999996 72.3 98.7
Polish 95.59999999999998 88.9 98.3 99.6 91.2 78.5 95.3 99.8 83.60000000000001 62.3 88.8 99.7
Portuguese 84.66666666666667 67.60000000000001 87.4 99.0 65.43333333333334 38.2 60.0 98.1 41.46666666666667 7.5 22.1 94.8
Romanian 88.0 77.3 91.3 95.39999999999999 80.53333333333333 62.3 81.8 97.5 57.0 26.1 52.800000000000004 92.10000000000001
Russian 94.86666666666667 88.2 97.6 98.8 87.53333333333332 75.2 92.0 95.39999999999999 63.866666666666674 34.4 66.9 90.3
Spanish 76.50000000000001 54.900000000000006 75.7 98.9 61.833333333333336 33.4 54.1 98.0 33.666666666666664 0.6 8.4 92.0
Swedish 88.66666666666667 75.1 91.5 99.4 73.63333333333334 49.4 73.9 97.6 51.86666666666667 17.599999999999998 44.2 93.8
Turkish 96.89999999999999 92.7 98.0 100.0 85.93333333333334 70.8 87.3 99.7 74.23333333333333 48.699999999999996 76.2 97.8
