language,average-optimaize,single-words-optimaize,word-pairs-optimaize,sentences-optimaize,average-opennlp,single-words-opennlp,word-pairs-opennlp,sentences-opennlp,average-tika,single-words-tika,word-pairs-tika,sentences-tika,average-lingua-low,single-words-lingua-low,word-pairs-lingua-low,sentences-lingua-low,average-lingua-high,single-words-lingua-high,word-pairs-lingua-high,sentences-lingua-high
Afrikaans,39.23333333333334,2.8000000000000003,21.8,93.10000000000001,71.63333333333334,40.6,75.3,99.0,70.56666666666666,43.8,70.3,97.6,64.36666666666666,37.8,62.4,92.9,78.73333333333333,58.5,80.9,96.8
Albanian,69.89999999999999,38.2,73.2,98.3,70.9,39.800000000000004,73.4,99.5,79.2,53.900000000000006,84.5,99.2,79.76666666666667,54.300000000000004,86.3,98.7,87.66666666666667,68.7,94.8,99.5
Arabic,88.8,72.3,94.3,99.8,84.16666666666667,65.0,88.3,99.2,97.36666666666667,93.5,98.6,100.0,94.43333333333334,88.4,95.7,99.2,98.5,96.39999999999999,99.2,99.9
Armenian,NaN,NaN,NaN,NaN,99.96666666666665,100.0,100.0,99.9,NaN,NaN,NaN,NaN,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Azerbaijani,NaN,NaN,NaN,NaN,81.93333333333334,60.4,86.0,99.4,NaN,NaN,NaN,NaN,82.06666666666666,71.3,78.5,96.39999999999999,89.56666666666668,77.4,92.30000000000001,99.0
Basque,66.03333333333332,32.800000000000004,69.89999999999999,95.39999999999999,76.63333333333334,55.7,81.89999999999999,92.30000000000001,82.56666666666666,64.4,85.8,97.5,74.43333333333334,55.60000000000001,76.5,91.2,83.66666666666667,71.0,87.4,92.60000000000001
Belarusian,86.89999999999999,69.1,92.30000000000001,99.3,91.0,78.4,94.69999999999999,99.9,96.46666666666665,91.60000000000001,98.1,99.7,91.86666666666667,80.4,95.39999999999999,99.8,96.86666666666667,91.5,99.2,99.9
Bengali,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Bokmal,NaN,NaN,NaN,NaN,66.13333333333333,42.4,68.8,87.2,NaN,NaN,NaN,NaN,49.43333333333334,27.3,47.199999999999996,73.8,57.63333333333333,38.800000000000004,58.699999999999996,75.4
Bosnian,NaN,NaN,NaN,NaN,26.133333333333336,12.1,21.9,44.4,NaN,NaN,NaN,NaN,29.099999999999998,22.6,28.9,35.8,34.56666666666666,28.999999999999996,34.699999999999996,40.0
Bulgarian,48.333333333333336,17.599999999999998,36.199999999999996,91.2,82.8,61.8,87.1,99.5,72.53333333333333,52.2,69.0,96.39999999999999,77.8,56.39999999999999,80.60000000000001,96.39999999999999,86.73333333333333,70.19999999999999,91.2,98.8
Catalan,31.333333333333332,1.7999999999999998,15.5,76.7,41.53333333333334,11.3,32.300000000000004,81.0,57.699999999999996,31.8,56.8,84.5,58.0,33.2,60.0,80.80000000000001,70.16666666666667,50.6,73.9,86.0
Chinese,30.83644261545496,0.0,1.7000000000000002,90.80932784636488,77.93333333333332,39.6,94.19999999999999,100.0,68.76666666666667,20.5,85.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Croatian,41.166666666666664,7.7,24.5,91.3,49.5,23.0,44.3,81.2,74.5,54.0,72.2,97.3,59.53333333333333,36.4,57.099999999999994,85.1,72.39999999999999,53.400000000000006,74.3,89.5
Czech,49.43333333333334,20.9,46.5,80.9,67.23333333333333,41.9,69.8,90.0,72.3,54.1,74.6,88.2,70.96666666666665,54.2,71.6,87.1,80.23333333333333,65.5,84.5,90.7
Danish,55.46666666666667,19.0,50.9,96.5,59.70000000000001,33.5,51.800000000000004,93.8,82.6,63.3,85.6,98.9,70.26666666666667,45.300000000000004,70.3,95.19999999999999,80.96666666666665,61.199999999999996,83.89999999999999,97.8
Dutch,38.666666666666664,5.6000000000000005,19.0,91.4,61.4,30.9,56.599999999999994,96.7,60.23333333333333,31.1,52.0,97.6,63.69999999999999,35.5,61.199999999999996,94.39999999999999,77.33333333333333,55.1,80.7,96.2
English,40.86556556556557,2.5,23.400000000000002,96.69669669669669,51.56623289956624,9.700000000000001,46.300000000000004,98.69869869869869,63.73303303303303,29.799999999999997,62.3,99.09909909909909,62.498765432098764,29.099999999999998,62.1,96.29629629629629,80.7996996996997,54.7,88.6,99.09909909909909
