ከጥንታዊ ሳይንሶች
የተዛመዱ መጣጥፎች
የተለያዩ የኮምፒዩተር
ግንኙነቶችን ያገኙበታል
ማስታወሻዎች ከወንድምና
የሚማረውም በህይወቴ
የሐረርጌ የሐረርጌ
ተከታዮች ነበሩዋቸውና
ከእንደራሴነት እንዳያስወጡ
እንዳይሽሯቸው ስምምነት
ሃይማኖታቸውን ከክርስትና
እስልምና እንደቀየሩ
መኳንንትና ቀሳውስት
አልወደዱዋቸውም ገዥነታቸው
በሞከሩበት ስምምነታቸው
እንግዲህ ለወገናቸው
ከስምምነቱ ተለቅቀው
ከእንደራሴነት እንግዲህ
መኳንንቱ ዘውዲቱን
አድርገዋቸው እንደራሴ
በኢትዮጵያ በመስከረም
የንጉሥነት ተጨመረላችው
በተገኙበት ሥነሥርዓት
ተቀብተው እሳቸውና
ሚስታቸው የሙሶሊኒ
ኢትዮጵያን ሕዝባቸውን
ወራሪውን ለመቃወም
እንዳስነሡና ዐዋጆቻቸው
ይዘገባሉ የዘመቻው
እስቲያልቅ ለሚታግሉ
አስተስርየት እራሳቸው
በቆራጥነት በመጨረሻ
እንግሊዝ አሰደዳቸው
መንግሥታት ጣልያኖች
የዓለምን በመጠየቅ
መንግሥታት አላደረጉም
በሁለተኛው የእንግሊዝ
ሠራዊቶች ለኢትዮጵያ
አርበኞች በመስጠት
ጣልያኖች ተሸንፈው
ኢትዮጵያን እንደገና
የገቡበት ከወጡበት
የኢትዮጵያ መንግሥት
የሕዝቦችን መብቶችና
ተከፋይነት በመንግሥት
አስፋፍቶ እንደመረጡ
ግርማዊነታቸው የአፍሪካ
አንድነት እንዲመሠረት
ካሪቢያን አድርገው
የጃማይካ ራስታዎች
በማርክሲስት በሚከተለው
ከተፈጥሮ ስለሚለው
ራስታዎች እንደሚኖሩ
የትውልድ ስመመንግሥታቸው
ዘኢትዮጵያ ዘእምነገደ
እግዚአብሔር ዘኢትዮጵያ
የሰሎሞናዊ ሥረወመንግሥት
ነገሥታት መጠሪያም
በንጉሠነገሥቱ ከመደበኛው
በመባልም የንጉሶች
የሚደነግገውን በኢትዮጵያ
