ንመብዛሕትኡ ንኤርትራን
ኢትዮጵያን ንግስነት
ተቐልቂሉ ሃይማኖት
ምቕልቃሉ ከይጸንሐ
ክርስትና ማእከላይ
መግዛእቲ ንግስነት
ኦቶማናውያን ዘመናዊት
ምውህሃድ መንግስታትን
ተወፈርቲ ኢትዮጵያን
ኦቶማንን ንኢጣልያዊት
ምኽንያት ኢጣልያውያን
ወተሃደራት ብምእታው
ዝተወረረ መግዛእቲ
ብሃጸያዊ ብሪጣንያ
ኢትዮጵያ ፈደረሽን
ኢትዮጵያን ኤርትራን
ብተደጋጋሚ ዝጸንሐት
ብመሰረት መንግስቲ
ወተሃደራዊ ኣገልግሎት
ስለዝኾነ እንተኾነ
ሰራዊትን ስልጣንን
ንዘይተወሰነ ንዘይተወሰነ
ብምንዋሕ ኤርትራውያን
ይገብሮም ብመንግስቲ
ብምዃነን ኤርትራውን
ቱርክመኒስታንን ምምሕዳራዊ
ክፍልታት ምምሕዳራዊ
ሃይማኖታት ክርስትና
ከምኡውን ዝጥርንፍ
ምስልምና ኣርባዕተ
ሓምሻዮም የሸግርዎም
ስለዝነበሩ ኣንስቶም
ኣስሚረንኦም ኣርባዕተ
ኣይነበሩን ኣስምዔን
ስርንስር ሓሰበላን
ስርንስርን ኣስምዔን
ጉረቶምን መግዛእቲ
ተገዲዶም ዐሰርተው
ኣርባዕተ ተመስሪታ
ዝዝንተው ሰረንሰር
ዝተባህሉ ኣርባዕተ
ዝተጠቅሱ መታሕትን
ነበሩነዚ ንምክልካል
ኣርባዕቲአን ተሰማምዓእቲ
ንሰብኡተን ነገርኦም
ተሰማሚዖም ኣንስቶም
ኣውዓልዎ ኣርባዕተ
ኢጣልያውያን ጥንታዊት
ይሰፍርዋን ኣርባዕተ
ትጽዋዕን ኣኸቲሞም
ተሰሪሑላ አስትሮኖሚ
አስትሮኖመር አስትሮኖመራት
ዝአመሰሉ ዘይረአዩ
ዓይነታት ተለስኮፕ
ዝተባህለ ዝተባሃሉ
አካላትን ብዑምቀት
ባዮሎጂስትታት መብዛሕትኡ
ጽንዐቶም ንምክያድ
ዝተፈልየ ዝጥቀሙሉ
ዘዴታትን ፍልጠታትን
ንአብነት ተጠቐስና
እንስሳታትን አታኽልትን
ውህደታት ንምርዳእ
ክሕግዞም ኬሚስትሪ
ዝተባህሉ ጨንፈራት
እንስሳን ዝምልከት
ንመጽናዕትን ፈተነታትን
ንተግባራዊ ይምልከት
ቨነርሆልም ቋንቋታት
ኣሐጐሰና ንትግርኛ
ቋንቋታት ንምግባር
እተገብረ ኣይኰነን
ዚርከበሉውን ምብጻሕና
ቋንቋታት መርበባት
ዕድመኦም ኣኽቢሮም
ኣላልይቶም ርእይቶታትኩም
ክትሰዱልና ብዝተፈላለየ
ንጥፈታት ስፖርትን
ንቘልዑን መንእሰያትን
ተዓዲሎም ብቅድድም
ሊሊሆልመን ዝተፈላለየ
ንጥፈታት ንዝወድኡ
ኣቀባብላ ተገይሩሎም
ኣርእዮም መደረታት
ኣስሚዖም ትምህርቲ
ትምህርቲ እምበኣር
ትምህርቲ መምህራን
ትምህርትኹም ጀሚርኩም
ይግበረልና ኣዳለውቲ
መርበብዚ ብዝተኻእለ
ንዓኻትኩም ዝገመትናዮ
ከነዳልወልኩም ክንፍትን
መምህራንን ተመሃሮን
በብወገንኩም ብዝተኻእለኩም
እትብልዎ ርእይቶታት
እትሰዱልና መርበብና
ሓገዝኩም ኣይፈለየና
መርበብዚ ቋንቋታት
ሓበሬታታት ቋንቋታት
እዚኣተን መርበብዚ
ብትግርኛ ንመጀመርታ
ብሃገራዊ ምምሕያሽን
ምምዕባልን ትምህርቲ
ብመምህራን በብእዋኑ
እናማዕበለን እናተለዋወጠን
ኪምዕብል ምትሕብባር
የድልዮንዚውሃበና ሓበሬታን
መልእኽትኹም ክትልእኩልና
ዝኸበርኩም ተኸታተልቲ
መርበብና ትምህርቲ
ትምህርቲ ተዓጽየን
ካብኣቶም ትምህርቶም
ዝኣከብኩሞ ንባዕልኻትኩምን
ንኣከባቢኹምን ንሃገርናን
ንዓለምናን ተባሂሎም
ተመሪቖም ቋንቋኣደ
ትምህርቲሓዘል እናኣተስፈወ
ይምነየልኩም የራኽበና
ትምህርቲ መንግስቲ
ትምህርቲ ከተማታት
ተሰሪዐን በብጽሒተን
ብምልዓል ትምህርቲ
ብመዝሙር ብትርኢት
ምውስዋስ ብምግባር
ኣመሓደርቲ ብልጫታቶም
ዚዝምሩዋ ወላዲትና
ጥዑምውን ኤስቶኒያ
መምህራን ሓለፍቶምን
ተኻፈልቲ ነይሮምዎ
መዓልታት ምልውዋጥ
ዝተዋህለለ ተኽእሎታት
